A;POLJOPRIVREDA, ŠUMARSTVO I RIBARSTVO
101;Prerada i konzerviranje mesa i proizvodnja mesnih proizvoda
1011;Prerada i konzerviranje mesa, osim mesa peradi
10110;Prerada i konzerviranje mesa, osim mesa peradi
1012;Prerada i konzerviranje mesa peradi
10120;Prerada i konzerviranje mesa peradi
1013;Proizvodnja proizvoda od mesa i mesa peradi
10130;Proizvodnja proizvoda od mesa i mesa peradi
102;Prerada i konzerviranje riba, rakova i mekušaca
1020;Prerada i konzerviranje riba, rakova i mekušaca
10200;Prerada i konzerviranje riba, rakova i mekušaca
103;Prerada i konzerviranje voća i povrća
1031;Prerada i konzerviranje krumpira
10310;Prerada i konzerviranje krumpira
1032;Proizvodnja sokova od voća i povrća
10320;Proizvodnja sokova od voća i povrća
1039;Ostala prerada i konzerviranje voća i povrća
10390;Ostala prerada i konzerviranje voća i povrća
104;Proizvodnja biljnih i životinjskih ulja i masti
1041;Proizvodnja ulja i masti
10410;Proizvodnja ulja i masti
1042;Proizvodnja margarina i sličnih jestivih masti
10420;Proizvodnja margarina i sličnih jestivih masti
105;Proizvodnja mliječnih proizvoda i jestivih ledenih proizvoda
1051;Proizvodnja mliječnih proizvoda
10510;Proizvodnja mliječnih proizvoda
1052;Proizvodnja sladoleda i ostalih jestivih ledenih proizvoda 
10520;Proizvodnja sladoleda i ostalih jestivih ledenih proizvoda 
106;Proizvodnja mlinskih proizvoda, škroba i škrobnih proizvoda
1061;Proizvodnja mlinskih proizvoda
10610;Proizvodnja mlinskih proizvoda
1062;Proizvodnja škroba i škrobnih proizvoda
10620;Proizvodnja škroba i škrobnih proizvoda
107;Proizvodnja pekarskih proizvoda i tjestenine
1071;"Proizvodnja kruha; proizvodnja svježih peciva i sličnih proizvoda te kolača"
10710;"Proizvodnja kruha; proizvodnja svježih peciva i sličnih proizvoda te kolača"
1072;Proizvodnja dvopeka, keksa, trajnih peciva i kolača
10720;Proizvodnja dvopeka, keksa, trajnih peciva i kolača
1073;Proizvodnja tjestenine
10730;Proizvodnja tjestenine
108;Proizvodnja ostalih prehrambenih proizvoda
1081;Proizvodnja šećera
10810;Proizvodnja šećera
1082;Proizvodnja kakao, čokoladnih proizvoda i proizvoda od šećera
10820;Proizvodnja kakao, čokoladnih proizvoda i proizvoda od šećera
1083;Prerada čaja i kave
10830;Prerada čaja i kave
1084;Proizvodnja začina i drugih dodataka hrani
10840;Proizvodnja začina i drugih dodataka hrani
1085;Proizvodnja gotove hrane i jela
10850;Proizvodnja gotove hrane i jela
1086;Proizvodnja homogeniziranih prehrambenih pripravaka i dijetetske hrane
10860;Proizvodnja homogeniziranih prehrambenih pripravaka i dijetetske hrane
1089;Proizvodnja ostalih prehrambenih proizvoda, d. n.
10890;Proizvodnja ostalih prehrambenih proizvoda, d. n.
109;Proizvodnja pripremljene hrane za životinje
1091;Proizvodnja pripremljene stočne hrane
10910;Proizvodnja pripremljene stočne hrane
1092;Proizvodnja pripremljene hrane za kućne ljubimce
10920;Proizvodnja pripremljene hrane za kućne ljubimce
11;Proizvodnja pića
110;Proizvodnja pića
1101;Destiliranje, pročišćavanje i miješanje alkoholnih pića
11010;Destiliranje, pročišćavanje i miješanje alkoholnih pića
1102;Proizvodnja vina od grožđa
11020;Proizvodnja vina od grožđa
1103;Proizvodnja jabukovače i ostalih fermentiranih voćnih pića
11030;Proizvodnja jabukovače i ostalih fermentiranih voćnih pića
1104;Proizvodnja ostalih nedestiliranih fermentiranih pića
11040;Proizvodnja ostalih nedestiliranih fermentiranih pića
1105;Proizvodnja piva
11050;Proizvodnja piva
1106;Proizvodnja slada
11060;Proizvodnja slada
1107;Proizvodnja osvježavajućih napitaka i flaširane vode
11070;Proizvodnja osvježavajućih napitaka i flaširane vode
12;Proizvodnja duhanskih proizvoda
120;Proizvodnja duhanskih proizvoda
1200;Proizvodnja duhanskih proizvoda
12001;Obrada duhanskih listova
12002;Proizvodnja ostalih duhanskih proizvoda
13;Proizvodnja tekstila
131;Priprema i predenje tekstilnih vlakana
1310;Priprema i predenje tekstilnih vlakana
13100;Priprema i predenje tekstilnih vlakana
132;Tkanje tekstila
1320;Tkanje tekstila
13200;Tkanje tekstila
133;Dovršavanje tekstila
1330;Dovršavanje tekstila
13300;Dovršavanje tekstila
139;Proizvodnja ostalog tekstila
1391;Proizvodnja pletenih i kukičanih tkanina
13910;Proizvodnja pletenih i kukičanih tkanina
1392;Proizvodnja tekstilnih proizvoda za kućanstvo i gotovih proizvoda za pokućstvo
13920;Proizvodnja tekstilnih proizvoda za kućanstvo i gotovih proizvoda za pokućstvo
1393;Proizvodnja tepiha i sagova
13930;Proizvodnja tepiha i sagova
1394;Proizvodnja užadi, konopaca, upletenoga konca i mreža
13940;Proizvodnja užadi, konopaca, upletenoga konca i mreža
1395;Proizvodnja netkanog tekstila i netkanih proizvoda
13950;Proizvodnja netkanog tekstila i netkanih proizvoda
1396;Proizvodnja ostalog tehničkog i industrijskog tekstila
13960;Proizvodnja ostalog tehničkog i industrijskog tekstila
1399;Proizvodnja ostalog tekstila, d. n.
13990;Proizvodnja ostalog tekstila, d. n.
14;Proizvodnja odjeće
141;Proizvodnja pletene i kukičane odjeće
1410;Proizvodnja pletene i kukičane odjeće
14100;Proizvodnja pletene i kukičane odjeće
142;Proizvodnja ostale odjeće i pribora za odjeću
1421;Proizvodnja vanjske odjeće 
14210;Proizvodnja vanjske odjeće 
1422;Proizvodnja rublja
14220;Proizvodnja rublja
1423;Proizvodnja radne odjeće
14230;Proizvodnja radne odjeće
1424;Proizvodnja kožne odjeće i proizvoda od krzna
14240;Proizvodnja kožne odjeće i proizvoda od krzna
1429;Proizvodnja ostale odjeće i pribora za odjeću, d. n.
14290;Proizvodnja ostale odjeće i pribora za odjeću, d. n.
15;Proizvodnja kože i srodnih proizvoda od drugih materijala
151;"Štavljenje, bojenje, obrada kože i krzna; proizvodnja putnih i ručnih torbi, sedlarskih i remenarskih proizvoda"
1511;Štavljenje, obrada, bojenje kože i krzna
15110;Štavljenje, obrada, bojenje kože i krzna
1512;Proizvodnja putnih i ručnih torbi, sedlarskih i remenarskih proizvoda od bilo kojeg materijala
15120;Proizvodnja putnih i ručnih torbi, sedlarskih i remenarskih proizvoda od bilo kojeg materijala
152;Proizvodnja obuće
1520;Proizvodnja obuće
15200;Proizvodnja obuće
16;"Obrada drva i proizvodnja proizvoda od drva i pluta, osim namještaja; proizvodnja proizvoda od slame i pletarskih materijala"
161;"Piljenje i blanjanje drva; obrada i dorada drva"
1611;Piljenje i blanjanje drva
16110;Piljenje i blanjanje drva
1612;Obrada i dorada drva
16120;Obrada i dorada drva
162;Proizvodnja proizvoda od drva, pluta, slame i pletarskih materijala
1621;Proizvodnja furnira i ostalih ploča od drva
16210;Proizvodnja furnira i ostalih ploča od drva
1622;Proizvodnja sastavljenog parketa
16220;Proizvodnja sastavljenog parketa
1623;Proizvodnja ostale građevne stolarije i elemenata
16230;Proizvodnja ostale građevne stolarije i elemenata
1624;Proizvodnja ambalaže od drva
16240;Proizvodnja ambalaže od drva
1625;Proizvodnja vrata i prozora od drva
16250;Proizvodnja vrata i prozora od drva
1626;Proizvodnja krutih goriva iz biljne biomase
16260;Proizvodnja krutih goriva iz biljne biomase
1627;Dorada proizvoda od drva
16270;Dorada proizvoda od drva
1628;Proizvodnja ostalih proizvoda od drva i pluta, slame i pletarskih materijala
16280;Proizvodnja ostalih proizvoda od drva i pluta, slame i pletarskih materijala
17;Proizvodnja papira i proizvoda od papira
171;Proizvodnja celuloze, papira i kartona
1711;Proizvodnja celuloze
17110;Proizvodnja celuloze
1712;Proizvodnja papira i kartona
17120;Proizvodnja papira i kartona
172;Proizvodnja proizvoda od papira i kartona
1721;Proizvodnja valovitog papira, kartona i ambalaže od papira i kartona
17210;Proizvodnja valovitog papira, kartona i ambalaže od papira i kartona
1722;Proizvodnja robe za kućanstvo i higijenu te toaletnih potrepština od papira
17220;Proizvodnja robe za kućanstvo i higijenu te toaletnih potrepština od papira
1723;Proizvodnja uredskog materijala od papira
17230;Proizvodnja uredskog materijala od papira
1724;Proizvodnja zidnih tapeta
17240;Proizvodnja zidnih tapeta
1725;Proizvodnja ostalih proizvoda od papira i kartona
17250;Proizvodnja ostalih proizvoda od papira i kartona
18;Tiskanje i umnožavanje snimljenih zapisa
181;Tiskanje i uslužne djelatnosti povezane s tiskanjem
1811;Tiskanje novina
18110;Tiskanje novina
1812;Ostalo tiskanje
18120;Ostalo tiskanje
1813;Usluge pripreme za tisak i objavljivanje
18130;Usluge pripreme za tisak i objavljivanje
1814;Knjigoveške i srodne usluge
18140;Knjigoveške i srodne usluge
182;Umnožavanje snimljenih zapisa
1820;Umnožavanje snimljenih zapisa
18200;Umnožavanje snimljenih zapisa
19;Proizvodnja koksa i rafiniranih naftnih proizvoda
191;Proizvodnja proizvoda koksnih peći
1910;Proizvodnja proizvoda koksnih peći
19100;Proizvodnja proizvoda koksnih peći
192;Proizvodnja rafiniranih naftnih proizvoda i proizvoda od fosilnih goriva
1920;Proizvodnja rafiniranih naftnih proizvoda i proizvoda od fosilnih goriva
19200;Proizvodnja rafiniranih naftnih proizvoda i proizvoda od fosilnih goriva
20;Proizvodnja kemikalija i kemijskih proizvoda
201;Proizvodnja osnovnih kemikalija, gnojiva i dušičnih spojeva, plastike i sintetičkoga kaučuka u primarnim oblicima
2011;Proizvodnja industrijskih plinova
20110;Proizvodnja industrijskih plinova
2012;Proizvodnja bojila i pigmenata
20120;Proizvodnja bojila i pigmenata
2013;Proizvodnja ostalih anorganskih osnovnih kemikalija
20130;Proizvodnja ostalih anorganskih osnovnih kemikalija
2014;Proizvodnja ostalih organskih osnovnih kemikalija
20140;Proizvodnja ostalih organskih osnovnih kemikalija
2015;Proizvodnja gnojiva i dušičnih spojeva
20150;Proizvodnja gnojiva i dušičnih spojeva
2016;Proizvodnja plastike u primarnim oblicima
20160;Proizvodnja plastike u primarnim oblicima
2017;Proizvodnja sintetičkoga kaučuka u primarnim oblicima
20170;Proizvodnja sintetičkoga kaučuka u primarnim oblicima
202;Proizvodnja pesticida, dezinficijensa i drugih agrokemijskih proizvoda
2020;Proizvodnja pesticida, dezinficijensa i drugih agrokemijskih proizvoda
20200;Proizvodnja pesticida, dezinficijensa i drugih agrokemijskih proizvoda
203;Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova
2030;Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova
20300;Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova
204;Proizvodnja sredstava za pranje, čišćenje i poliranje
2041;Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje
20410;Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje
2042;Proizvodnja parfema i toaletno-kozmetičkih preparata
20420;Proizvodnja parfema i toaletno-kozmetičkih preparata
205;Proizvodnja  ostalih kemijskih proizvoda
2051;Proizvodnja tekućih biogoriva
20510;Proizvodnja tekućih biogoriva
2059;Proizvodnja ostalih kemijskih proizvoda, d. n.
20591;Proizvodnja eksploziva
20592;Proizvodnja ljepila
20593;Proizvodnja eteričnih ulja
20599;Proizvodnja ostalih kemijskih proizvoda
206;Proizvodnja umjetnih vlakana
2060;Proizvodnja umjetnih vlakana
20600;Proizvodnja umjetnih vlakana
21;Proizvodnja osnovnih farmaceutskih proizvoda i farmaceutskih pripravaka
211;Proizvodnja osnovnih farmaceutskih proizvoda
2110;Proizvodnja osnovnih farmaceutskih proizvoda
21100;Proizvodnja osnovnih farmaceutskih proizvoda
212;Proizvodnja farmaceutskih pripravaka
2120;Proizvodnja farmaceutskih pripravaka
21200;Proizvodnja farmaceutskih pripravaka
22;Proizvodnja proizvoda od gume i plastike
221;Proizvodnja proizvoda od gume
2211;Proizvodnja, protektiranje i obnova vanjskih i unutrašnjih guma za vozila te proizvodnja zračnica
22110;Proizvodnja, protektiranje i obnova vanjskih i unutrašnjih guma za vozila te proizvodnja zračnica
2212;Proizvodnja ostalih proizvoda od gume
22120;Proizvodnja ostalih proizvoda od gume
222;Proizvodnja proizvoda od plastike
2221;Proizvodnja ploča, listova, cijevi i profila od plastike
22210;Proizvodnja ploča, listova, cijevi i profila od plastike
2222;Proizvodnja ambalaže od plastike
22220;Proizvodnja ambalaže od plastike
2223;Proizvodnja vrata i prozora od plastike
22230;Proizvodnja vrata i prozora od plastike
2224;Proizvodnja proizvoda od plastike za građevinarstvo
22240;Proizvodnja proizvoda od plastike za građevinarstvo
2225;Obrada i dovršavanje proizvoda od plastike
22250;Obrada i dovršavanje proizvoda od plastike
2226;Proizvodnja ostalih proizvoda od plastike
22260;Proizvodnja ostalih proizvoda od plastike
23;Proizvodnja ostalih nemetalnih mineralnih proizvoda
231;Proizvodnja stakla i proizvoda od stakla
2311;Proizvodnja ravnog stakla
23110;Proizvodnja ravnog stakla
2312;Oblikovanje i obrada ravnog stakla
23120;Oblikovanje i obrada ravnog stakla
2313;Proizvodnja šupljeg stakla
23130;Proizvodnja šupljeg stakla
2314;Proizvodnja staklenih vlakana
23140;Proizvodnja staklenih vlakana
2315;Proizvodnja i obrada ostalog stakla uključujući tehničku robu od stakla
23150;Proizvodnja i obrada ostalog stakla uključujući tehničku robu od stakla
232;Proizvodnja vatrostalnih proizvoda
2320;Proizvodnja vatrostalnih proizvoda
23200;Proizvodnja vatrostalnih proizvoda
233;Proizvodnja proizvoda od gline za građevinarstvo
2331;Proizvodnja keramičkih pločica i ploča
23310;Proizvodnja keramičkih pločica i ploča
2332;Proizvodnja opeke, crijepa i ostalih proizvoda od pečene gline za građevinarstvo
23320;Proizvodnja opeke, crijepa i ostalih proizvoda od pečene gline za građevinarstvo
234;Proizvodnja ostalih proizvoda od porculana i keramike
2341;Proizvodnja keramičkih proizvoda za kućanstvo i ukrasnih predmeta
23410;Proizvodnja keramičkih proizvoda za kućanstvo i ukrasnih predmeta
2342;Proizvodnja sanitarne keramike
23420;Proizvodnja sanitarne keramike
2343;Proizvodnja keramičkih izolatora i izolacijskog pribora
23430;Proizvodnja keramičkih izolatora i izolacijskog pribora
2344;Proizvodnja ostalih tehničkih proizvoda od keramike
23440;Proizvodnja ostalih tehničkih proizvoda od keramike
2345;Proizvodnja ostalih proizvoda od keramike
23450;Proizvodnja ostalih proizvoda od keramike
235;Proizvodnja cementa, vapna i gipsa
2351;Proizvodnja cementa
23510;Proizvodnja cementa
2352;Proizvodnja vapna i gipsa
23520;Proizvodnja vapna i gipsa
236;Proizvodnja proizvoda od betona, cementa i gipsa
2361;Proizvodnja proizvoda od betona za građevinarstvo
23610;Proizvodnja proizvoda od betona za građevinarstvo
2362;Proizvodnja proizvoda od gipsa za građevinarstvo
23620;Proizvodnja proizvoda od gipsa za građevinarstvo
2363;Proizvodnja gotove betonske smjese
23630;Proizvodnja gotove betonske smjese
2364;Proizvodnja žbuke
23640;Proizvodnja žbuke
2365;Proizvodnja fibrocementa
23650;Proizvodnja fibrocementa
2366;Proizvodnja ostalih proizvoda od betona, cementa i gipsa
23660;Proizvodnja ostalih proizvoda od betona, cementa i gipsa
237;Rezanje, oblikovanje i obrada kamena
2370;Rezanje, oblikovanje i obrada kamena
23700;Rezanje, oblikovanje i obrada kamena
239;Proizvodnja brusnih i nemetalnih mineralnih proizvoda, d. n.
2391;Proizvodnja brusnih proizvoda
23910;Proizvodnja brusnih proizvoda
2399;Proizvodnja ostalih nemetalnih mineralnih proizvoda, d. n.
23990;Proizvodnja ostalih nemetalnih mineralnih proizvoda, d. n.
24;Proizvodnja metala
241;Proizvodnja sirovog željeza, čelika i ferolegura
2410;Proizvodnja sirovog željeza, čelika i ferolegura
24100;Proizvodnja sirovog željeza, čelika i ferolegura
242;Proizvodnja čeličnih cijevi, šupljih profila i pripadajućeg pribora
2420;Proizvodnja čeličnih cijevi, šupljih profila i pripadajućeg pribora
24200;Proizvodnja čeličnih cijevi, šupljih profila i pripadajućeg pribora
243;Proizvodnja ostalih proizvoda primarne prerade čelika
2431;Hladno vučenje šipki
24310;Hladno vučenje šipki
2432;Hladno valjanje uskih vrpci
24320;Hladno valjanje uskih vrpci
2433;Hladno oblikovanje i profiliranje
24330;Hladno oblikovanje i profiliranje
2434;Hladno vučenje žica
24340;Hladno vučenje žica
244;Proizvodnja plemenitih i ostalih obojenih metala
2441;Proizvodnja plemenitih metala
24410;Proizvodnja plemenitih metala
2442;Proizvodnja aluminija
24420;Proizvodnja aluminija
2443;Proizvodnja olova, cinka i kositra
24430;Proizvodnja olova, cinka i kositra
2444;Proizvodnja bakra
24440;Proizvodnja bakra
2445;Proizvodnja ostalih obojenih metala
24450;Proizvodnja ostalih obojenih metala
2446;Obrada nuklearnoga goriva
24460;Obrada nuklearnoga goriva
245;Lijevanje metala
2451;Lijevanje željeza
24510;Lijevanje željeza
2452;Lijevanje čelika
24520;Lijevanje čelika
2453;Lijevanje lakih metala
24530;Lijevanje lakih metala
2454;Lijevanje ostalih obojenih metala
24540;Lijevanje ostalih obojenih metala
25;Proizvodnja gotovih metalnih proizvoda, osim strojeva i opreme
251;Proizvodnja metalnih konstrukcija
2511;Proizvodnja metalnih konstrukcija i njihovih dijelova
25110;Proizvodnja metalnih konstrukcija i njihovih dijelova
2512;Proizvodnja vrata i prozora od metala
25120;Proizvodnja vrata i prozora od metala
252;Proizvodnja cisterni, rezervoara i sličnih posuda od metala
2521;Proizvodnja radijatora, parnih kotlova i kotlova za centralno grijanje
25210;Proizvodnja radijatora, parnih kotlova i kotlova za centralno grijanje
2522;Proizvodnja ostalih cisterni, rezervoara i sličnih posuda od metala
25220;Proizvodnja ostalih cisterni, rezervoara i sličnih posuda od metala
253;Proizvodnja oružja i streljiva 
2530;Proizvodnja oružja i streljiva 
25300;Proizvodnja oružja i streljiva 
254;Kovanje i oblikovanje metala i metalurgija praha
2540;Kovanje i oblikovanje metala i metalurgija praha
25400;Kovanje i oblikovanje metala i metalurgija praha
255;"Obrada i prevlačenje metala; strojna obrada metala"
2551;Prevlačenje metala
25510;Prevlačenje metala
2552;Toplinska obrada metala
25520;Toplinska obrada metala
2553;Strojna obrada metala
25530;Strojna obrada metala
256;Proizvodnja pribora za jelo i sječiva, alata i opće željezne robe
2561;Proizvodnja pribora za jelo i sječiva
25610;Proizvodnja pribora za jelo i sječiva
2562;Proizvodnja brava i okova
25620;Proizvodnja brava i okova
2563;Proizvodnja alata
25630;Proizvodnja alata
259;Proizvodnja ostalih gotovih proizvoda od metala
2591;Proizvodnja čeličnih bačvi i sličnih posuda
25910;Proizvodnja čeličnih bačvi i sličnih posuda
2592;Proizvodnja ambalaže od lakih metala
25920;Proizvodnja ambalaže od lakih metala
2593;Proizvodnja proizvoda od žice, lanaca i opruga
25930;Proizvodnja proizvoda od žice, lanaca i opruga
2594;Proizvodnja zakovica i vijčane robe
25940;Proizvodnja zakovica i vijčane robe
2599;Proizvodnja ostalih gotovih proizvoda od metala, d. n.
25990;Proizvodnja ostalih gotovih proizvoda od metala, d. n.
26;Proizvodnja računala te elektroničkih i optičkih proizvoda
261;Proizvodnja elektroničkih komponenata i ploča
2611;Proizvodnja elektroničkih komponenata
26110;Proizvodnja elektroničkih komponenata
2612;Proizvodnja punih elektroničkih ploča
26120;Proizvodnja punih elektroničkih ploča
262;Proizvodnja računala i periferne opreme
2620;Proizvodnja računala i periferne opreme
26200;Proizvodnja računala i periferne opreme
263;Proizvodnja komunikacijske opreme
2630;Proizvodnja komunikacijske opreme
26300;Proizvodnja komunikacijske opreme
264;Proizvodnja elektroničkih uređaja za široku potrošnju
2640;Proizvodnja elektroničkih uređaja za široku potrošnju
26400;Proizvodnja elektroničkih uređaja za široku potrošnju
265;Proizvodnja mjernih instrumenata za ispitivanje i satova
2651;Proizvodnja instrumenata i aparata za mjerenje, ispitivanje i navigaciju
26510;Proizvodnja instrumenata i aparata za mjerenje, ispitivanje i navigaciju
2652;Proizvodnja satova
26520;Proizvodnja satova
266;Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme
2660;Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme
26600;Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme
267;Proizvodnja optičkih instrumenata, magnetskih i optičkih medija te fotografske opreme
2670;Proizvodnja optičkih instrumenata, magnetskih i optičkih medija te fotografske opreme
26700;Proizvodnja optičkih instrumenata, magnetskih i optičkih medija te fotografske opreme
27;Proizvodnja električne opreme
271;Proizvodnja elektromotora, generatora, transformatora te uređaja za distribuciju i kontrolu električne energije
2711;Proizvodnja elektromotora, generatora i transformatora
27110;Proizvodnja elektromotora, generatora i transformatora
2712;Proizvodnja uređaja za distribuciju i kontrolu električne energije
27120;Proizvodnja uređaja za distribuciju i kontrolu električne energije
272;Proizvodnja baterija i akumulatora
2720;Proizvodnja baterija i akumulatora
27200;Proizvodnja baterija i akumulatora
273;Proizvodnja žice i elektroinstalacijskog materijala
2731;Proizvodnja kablova od optičkih vlakana
27310;Proizvodnja kablova od optičkih vlakana
2732;Proizvodnja ostalih elektroničkih i električnih žica i kablova
27320;Proizvodnja ostalih elektroničkih i električnih žica i kablova
2733;Proizvodnja elektroinstalacijskog materijala
27330;Proizvodnja elektroinstalacijskog materijala
274;Proizvodnja rasvjetne opreme
2740;Proizvodnja rasvjetne opreme
27400;Proizvodnja rasvjetne opreme
275;Proizvodnja aparata za kućanstvo
2751;Proizvodnja električnih aparata za kućanstvo
27510;Proizvodnja električnih aparata za kućanstvo
